"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Willy Garcia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".290",".387",".677",".288","","-100","0.0","0.0","","0.0","0.0","","12956"
"Dustin Peterson","Tigers","5","20","18","5","1","0","0","2","2","1","5","0","0","0","",".249",".293",".383",".676",".288","","77","0.0","0.0","","-0.6","-0.1","0.0","15189"
"Josh Tobias","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".259",".306",".363",".669",".288","","73","0.0","0.0","","0.0","0.0","0.0","sa599333"
"Kade Scivicque","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".254",".300",".375",".675",".288","","77","0.0","0.0","","0.0","0.0","0.0","sa875053"
"Brian Serven","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".291",".385",".676",".288","","60","0.0","0.0","","-0.1","0.0","0.0","sa857231"
"Yolmer Sanchez","White Sox","56","226","205","50","10","2","4","23","21","16","49","2","4","2","",".242",".302",".369",".670",".288","","79","0.0","0.3","","-6.1","1.1","0.3","11602"
"Drew Weeks","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".290",".388",".677",".288","","60","0.0","0.0","","-0.1","0.0","0.0","sa602429"
"Brian Goodwin","Angels","20","81","73","17","4","0","2","9","9","6","22","1","1","0","",".231",".297",".379",".676",".288","","80","0.0","-0.5","","-2.0","-1.1","0.0","12858"
"Phil Gosselin","Phillies","1","5","5","1","0","0","0","0","0","0","1","0","0","0","",".249",".305",".363",".668",".288","","75","0.0","-0.1","","-0.2","-0.1","0.0","10953"
"Taylor Davis","Cubs","1","2","2","1","0","0","0","0","0","0","0","0","0","0","",".243",".309",".355",".663",".288","","75","0.0","0.0","","-0.1","0.0","0.0","12782"
"Matt Hearn","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".274",".314",".353",".666",".288","","60","0.0","0.0","","-0.1","0.0","0.0","sa918523"
"Balbino Fuenmayor","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".251",".289",".394",".682",".288","","-100","0.0","0.0","","0.0","0.0","","sa356978"
"Jonathan Rodriguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".304",".362",".666",".288","","-100","0.0","0.0","","0.0","0.0","","sa503023"
"Jeremy Barfield","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".289",".384",".673",".288","","72","0.0","0.0","","0.0","0.0","0.0","sa327073"
"Brett Cumberland","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".303",".361",".665",".288","","77","0.0","0.0","","0.0","0.0","0.0","sa915611"
"Conrad Gregor","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".303",".364",".666",".288","","-100","0.0","0.0","","0.0","0.0","","sa550116"
"Hernan Perez","Brewers","4","18","17","4","1","0","0","2","2","1","4","0","0","0","",".249",".288",".393",".680",".288","","73","0.0","0.0","","-0.6","0.0","0.0","5751"
"Beau Taylor","Athletics","3","11","10","2","0","0","0","1","1","1","3","0","0","0","",".221",".317",".337",".654",".288","","79","0.0","0.1","","-0.3","0.3","0.0","12384"
"Victor Reyes","Tigers","7","32","30","8","1","0","1","3","3","1","6","0","1","0","",".264",".298",".379",".677",".288","","77","0.0","0.1","","-0.9","0.2","0.0","15487"
"DJ Peters","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".284",".392",".675",".288","","79","0.0","0.0","","0.0","0.0","0.0","sa829712"
"Deibinson Romero","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".301",".366",".667",".288","","-100","0.0","0.0","","0.0","0.0","","sa328505"
"Chase Headley","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".309",".353",".662",".288","","-100","0.0","0.0","","0.0","0.0","","4720"
"Cade Gotta","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".302",".367",".669",".288","","-100","0.0","0.0","","0.0","0.0","","sa829411"
"Ryan Schimpf","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".285",".388",".673",".288","","-100","0.0","0.0","","0.0","0.0","","9953"
"Mike Papi","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".311",".349",".660",".288","","73","0.0","0.0","","0.0","0.0","0.0","sa599318"
"Taylor Trammell","Reds","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".308",".351",".659",".287","","72","0.0","0.0","","0.0","0.0","0.0","sa917943"
"David Vidal","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".296",".378",".674",".287","","-100","0.0","0.0","","0.0","0.0","","sa548470"
"Dalton Pompey","Blue Jays","1","5","5","1","0","0","0","1","0","0","1","0","0","0","",".238",".306",".356",".662",".287","","77","0.0","0.0","","-0.1","0.0","0.0","12797"
"Thairo Estrada","Yankees","2","8","7","2","0","0","0","1","1","0","2","0","0","0","",".252",".293",".381",".674",".287","","75","0.0","0.0","","-0.2","0.0","0.0","16426"
"Jacob Stallings","Pirates","24","93","85","22","5","0","2","9","9","6","20","1","0","0","",".255",".310",".371",".680",".287","","76","0.1","0.4","","-2.9","1.5","0.1","13723"
"Evan White","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".293",".383",".676",".287","","82","0.0","0.0","","0.0","0.0","0.0","sa915774"
"Brandon Phillips","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".258",".298",".374",".672",".287","","-100","0.0","0.0","","0.0","0.0","","791"
"Mark Zagunis","Cubs","5","20","17","4","1","0","0","2","2","2","6","0","0","0","",".221",".314",".341",".655",".287","","74","0.0","0.0","","-0.7","0.0","0.0","16565"
"Dario Pizzano","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".302",".366",".668",".287","","-100","0.0","0.0","","0.0","0.0","","sa658253"
"Chris Parmelee","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".296",".375",".671",".287","","78","0.0","0.0","","0.0","0.0","0.0","2554"
"Shane Robinson","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".304",".360",".664",".287","","75","0.0","0.0","","0.0","0.0","0.0","4249"
"Travis Jankowski","Padres","14","61","54","13","2","0","1","7","4","6","14","0","3","1","",".243",".321",".328",".649",".287","","77","0.2","-0.1","","-1.7","0.1","0.0","13768"
"Drew Stubbs","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".303",".357",".660",".287","","-100","0.0","0.0","","0.0","0.0","","9328"
"Gavin Sheets","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".297",".371",".668",".287","","78","0.0","0.0","","0.0","0.0","0.0","sa829797"
"Jason Vosler","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".286",".388",".674",".287","","77","0.0","0.0","","0.0","0.0","0.0","sa829190"
"Jon Jay","White Sox","54","230","207","53","9","1","2","22","18","14","43","5","2","1","",".254",".315",".341",".656",".287","","78","-0.1","0.1","","-6.6","-2.6","-0.1","5227"
"Austin Davidson","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".306",".355",".661",".287","","72","0.0","0.0","","0.0","0.0","0.0","sa599216"
"Anthony Garcia","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".301",".365",".665",".287","","77","0.0","0.0","","0.0","0.0","0.0","sa502038"
"Juan Kelly","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".292",".378",".670",".287","","-100","0.0","0.0","","0.0","0.0","","sa657541"
"Ernie De La Trinidad","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".304",".358",".662",".287","","74","0.0","0.0","","0.0","0.0","0.0","sa3003955"
"Cedric Mullins II","Orioles","32","135","123","29","6","1","3","15","13","9","24","1","4","1","",".238",".294",".377",".671",".287","","76","0.3","-1.0","","-3.8","-0.6","0.0","17929"
"Jordan Patterson","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".285",".391",".676",".286","","76","0.0","0.0","","0.0","0.0","0.0","15119"
"Justin Toerner","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".309",".349",".658",".286","","76","0.0","0.0","","0.0","0.0","0.0","sa3006735"
"Dee Gordon","Mariners","51","212","199","54","8","2","2","22","18","8","32","2","11","3","",".274",".306",".360",".666",".286","","81","1.3","-0.7","","-3.8","-0.1","0.3","8203"
"Alec Keller","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".267",".308",".355",".663",".286","","72","0.0","0.0","","0.0","0.0","0.0","sa829219"
"Ben Ruta","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".297",".371",".669",".286","","75","0.0","0.0","","0.0","0.0","0.0","sa918694"
"Cyle Hankerd","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".294",".374",".668",".286","","-100","0.0","0.0","","0.0","0.0","","sa326676"
"Tony Renda","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".261",".308",".355",".663",".286","","71","0.0","0.0","","0.0","0.0","0.0","13443"
"John Norwood","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".295",".371",".666",".286","","-100","0.0","0.0","","0.0","0.0","","sa598986"
"Irving Lopez","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".248",".301",".366",".667",".286","","75","0.0","0.0","","0.0","0.0","0.0","sa3002878"
"Rickie Weeks Jr.","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".296",".365",".661",".286","","-100","0.0","0.0","","0.0","0.0","","1849"
"Luis Guillorme","Mets","2","8","7","2","0","0","0","1","1","1","1","0","0","0","",".247",".319",".329",".648",".286","","79","0.0","0.0","","-0.2","0.0","0.0","16451"
"Darien Tubbs","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".293",".375",".667",".286","","-100","0.0","0.0","","0.0","0.0","","sa874236"
"Hector Sanchez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".280",".396",".676",".286","","-100","0.0","0.0","","0.0","0.0","","10289"
"Rudy Flores","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".291",".383",".673",".286","","-100","0.0","0.0","","0.0","0.0","","sa621607"
"Telvin Nash","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".284",".386",".670",".286","","-100","0.0","0.0","","0.0","0.0","","sa501240"
"Shed Long","Mariners","5","21","19","4","1","0","0","2","2","2","6","0","0","0","",".233",".297",".369",".665",".286","","81","0.0","0.0","","-0.5","0.1","0.0","16542"
"Jose Godoy","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".302",".360",".662",".286","","75","0.0","0.0","","0.0","0.0","0.0","sa657267"
"Austin Wynns","Orioles","6","24","21","5","1","0","1","2","2","2","5","0","0","0","",".239",".301",".359",".660",".286","","75","0.0","0.0","","-0.8","0.4","0.0","15271"
"Willie Abreu","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".292",".378",".670",".286","","58","0.0","0.0","","-0.1","0.0","0.0","sa738883"
"Michael Perez","Rays","3","11","10","2","0","0","0","1","1","1","3","0","0","0","",".235",".294",".370",".665",".285","","78","0.0","0.0","","-0.3","0.2","0.0","12977"
"Daniel Sweet","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".301",".358",".659",".285","","-100","0.0","0.0","","0.0","0.0","","sa658561"
"Chris Sharpe","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".300",".360",".660",".285","","75","0.0","0.0","","0.0","0.0","0.0","sa3004726"
"Ben DeLuzio","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".251",".306",".357",".663",".285","","71","0.0","0.0","","0.0","0.0","0.0","sa737626"
"Stephen Drew","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".287",".379",".666",".285","","-100","0.0","0.0","","0.0","0.0","","4251"
"Devyn Bolasky","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".253",".304",".356",".660",".285","","-100","0.0","0.0","","0.0","0.0","","sa829558"
"Dilson Herrera","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".286",".385",".671",".285","","79","0.0","0.0","","0.0","0.0","0.0","14335"
"Elehuris Montero","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".286",".386",".672",".285","","75","0.0","0.0","","0.0","0.0","0.0","sa872477"
"Jose Rondon","White Sox","15","60","55","13","2","0","2","6","6","3","14","0","1","0","",".237",".284",".387",".671",".285","","77","-0.1","0.2","","-1.9","0.2","0.0","14140"
"Johnny Giavotella","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".303",".356",".659",".285","","-100","0.0","0.0","","0.0","0.0","","6740"
"Darrell Ceciliani","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".292",".374",".666",".285","","-100","0.0","0.0","","0.0","0.0","","9954"
"Christian Bethancourt","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".280",".394",".674",".285","","-100","0.0","0.0","","0.0","0.0","","10028"
"Chris Shaw","Giants","2","8","7","2","0","0","0","1","1","0","2","0","0","0","",".232",".284",".388",".672",".285","","76","0.0","0.0","","-0.2","-0.1","0.0","17738"
"Travis Blankenhorn","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".287",".385",".672",".285","","73","0.0","0.0","","0.0","0.0","0.0","sa874969"
"Josh Palacios","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".303",".358",".660",".285","","75","0.0","0.0","","0.0","0.0","0.0","sa829562"
"Henry Ramos","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".294",".373",".667",".285","","76","0.0","0.0","","0.0","0.0","0.0","sa548440"
"Skye Bolt","Athletics","1","5","4","1","0","0","0","1","1","0","1","0","0","0","",".229",".294",".371",".664",".285","","77","0.0","0.0","","-0.1","0.0","0.0","17723"
"Damek Tomscha","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".291",".376",".666",".285","","77","0.0","0.0","","0.0","0.0","0.0","sa550391"
"Jim Adduci","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".249",".292",".377",".669",".285","","73","0.0","0.0","","0.0","0.0","0.0","6448"
"David Wright","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".304",".347",".651",".285","","-100","0.0","0.0","","0.0","0.0","","3787"
"Bret Boswell","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".286",".386",".673",".285","","58","0.0","0.0","","-0.1","0.0","0.0","sa918769"
"Garrett Stubbs","Astros","5","19","17","4","1","0","0","2","2","2","4","0","0","0","",".234",".302",".355",".657",".285","","79","0.0","0.0","","-0.5","0.4","0.0","18067"
"Martin Maldonado","Cubs","16","60","54","12","3","0","2","6","7","4","14","1","0","0","",".226",".289",".374",".664",".285","","73","-0.2","0.6","","-2.4","1.7","0.2","6887"
"Austin Romine","Yankees","16","64","59","14","3","0","2","7","7","3","15","0","0","0","",".239",".284",".385",".670",".285","","74","-0.1","-0.1","","-2.2","0.9","0.1","5491"
"Chris Heisey","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".289",".372",".661",".285","","-100","0.0","0.0","","0.0","0.0","","3978"
"Kean Wong","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".252",".303",".356",".659",".285","","78","0.0","0.0","","0.0","0.0","0.0","sa737841"
"Max Stassi","Astros","16","64","56","12","2","0","2","7","7","5","19","1","0","0","",".214",".291",".369",".660",".285","","79","-0.1","-0.4","","-1.8","0.5","0.4","10059"
"Michael Benjamin","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".292",".373",".665",".285","","57","0.0","0.0","","-0.1","0.0","0.0","sa550265"
"Donnie Walton","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".309",".343",".652",".285","","80","0.0","0.0","","0.0","0.0","0.0","sa659038"
"Emmanuel Rivera","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".255",".292",".377",".670",".284","","73","0.0","0.0","","0.0","0.0","0.0","sa875798"
"Charlie Culberson","Braves","8","32","30","7","1","0","1","3","4","2","8","0","0","0","",".242",".290",".383",".674",".284","","71","0.0","0.0","","-1.2","-0.1","0.0","3298"
"Leonys Martin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".292",".370",".663",".284","","71","0.0","0.0","","0.0","0.0","0.0","11846"
"Kevin Taylor","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".308",".348",".656",".284","","-100","0.0","0.0","","0.0","0.0","","sa599801"
"Danny Hayes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".300",".355",".655",".284","","-100","0.0","0.0","","0.0","0.0","","sa621374"
"Jhon Nunez","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".252",".298",".364",".662",".284","","70","0.0","0.0","","0.0","0.0","0.0","sa736923"
"Cooper Hummel","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".299",".353",".653",".284","","71","0.0","0.0","","0.0","0.0","0.0","sa918412"
"Nolan Jones","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".304",".347",".651",".284","","71","0.0","0.0","","0.0","0.0","0.0","sa917941"
"Tres Barrera","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".297",".364",".661",".284","","70","0.0","0.0","","0.0","0.0","0.0","sa857852"
"Andrew Susac","Royals","2","7","6","1","0","0","0","1","1","1","2","0","0","0","",".214",".297",".361",".658",".284","","73","0.0","0.0","","-0.2","0.1","0.0","13132"
"Cole Sturgeon","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".298",".365",".663",".284","","70","0.0","0.0","","0.0","0.0","0.0","sa709546"
"Logan Hill","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".291",".373",".663",".284","","74","0.0","0.0","","0.0","0.0","0.0","sa875822"
"Raudy Read","Nationals","1","2","2","1","0","0","0","0","0","0","1","0","0","0","",".242",".282",".394",".676",".284","","70","0.0","0.0","","-0.1","0.0","0.0","15766"
"Trey Amburgey","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".275",".400",".675",".284","","73","0.0","0.0","","0.0","0.0","0.0","sa875629"
"Danry Vasquez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".298",".361",".659",".284","","-100","0.0","0.0","","0.0","0.0","","sa598653"
"Patrick Leonard","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".293",".369",".662",".284","","71","0.0","0.0","","0.0","0.0","0.0","sa597839"
"Jesmuel Valentin","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".301",".354",".654",".284","","74","0.0","0.0","","0.0","0.0","0.0","14548"
"Ezequiel Carrera","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".304",".347",".652",".284","","-100","0.0","0.0","","0.0","0.0","","9048"
"Marcus Wilson","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".293",".367",".660",".284","","70","0.0","0.0","","0.0","0.0","0.0","sa828703"
"Eric Wood","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".287",".376",".663",".284","","74","0.0","0.0","","0.0","0.0","0.0","sa602394"
"Elmer Reyes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".261",".293",".372",".665",".284","","-100","0.0","0.0","","0.0","0.0","","sa506274"
"Edwin Espinal","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".296",".365",".661",".284","","-100","0.0","0.0","","0.0","0.0","","sa596971"
"Sean Rodriguez","Phillies","6","23","20","4","1","0","1","2","3","2","8","0","0","0","",".202",".282",".384",".665",".284","","72","0.0","-0.1","","-0.9","0.0","0.0","6589"
"Nick Longhi","Reds","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".288",".376",".664",".284","","70","0.0","0.0","","0.0","0.0","0.0","sa738434"
"Jonathan Davis","Blue Jays","7","28","25","6","1","0","1","3","3","2","7","0","1","0","",".224",".300",".353",".653",".284","","74","0.0","0.0","","-0.9","0.1","0.0","15104"
"Wander Franco","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".296",".369",".664",".284","","77","0.0","0.0","","0.0","0.0","0.0","sa3007033"
"Jacob Scavuzzo","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".265",".411",".677",".284","","76","0.0","0.0","","0.0","0.0","0.0","sa658601"
"Luis Yander La O","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".263",".301",".361",".661",".284","","67","0.0","0.0","","0.0","0.0","0.0","sa863716"
"Drew Ward","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".296",".360",".656",".284","","70","0.0","0.0","","0.0","0.0","0.0","sa737690"
"Willi Castro","Tigers","12","50","46","11","2","1","1","5","5","3","11","1","1","1","",".248",".297",".364",".661",".284","","74","0.0","0.0","","-1.6","0.5","0.1","sa830274"
"Bijan Rademacher","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".306",".348",".653",".283","","-100","0.0","0.0","","0.0","0.0","","sa658233"
"Donnie Dewees","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".291",".372",".663",".283","","72","0.0","0.0","","0.0","0.0","0.0","sa858802"
"Luis Santana","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".255",".301",".355",".656",".283","","78","0.0","0.0","","0.0","0.0","0.0","sa921577"
"Derek Norris","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".282",".384",".666",".283","","-100","0.0","0.0","","0.0","0.0","","6867"
"Daniel Robertson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".306",".346",".652",".283","","-100","0.0","0.0","","0.0","0.0","","6266"
"Tyler Ramirez","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".306",".341",".647",".283","","76","0.0","0.0","","0.0","0.0","0.0","sa873260"
"Aaron Hill","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".303",".348",".651",".283","","-100","0.0","0.0","","0.0","0.0","","6104"
"Eduard Pinto","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".254",".297",".364",".660",".283","","-100","0.0","0.0","","0.0","0.0","","sa579381"
"Nick Hundley","Athletics","4","16","15","3","1","0","1","2","2","1","4","0","0","0","",".230",".280",".392",".673",".283","","76","-0.1","-0.1","","-0.6","0.1","0.0","3376"
"Rosell Herrera","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".304",".350",".654",".283","","76","0.0","0.0","","0.0","0.0","0.0","11611"
"Danny Woodrow","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".256",".307",".346",".653",".283","","74","0.0","0.0","","0.0","0.0","0.0","sa918257"
"Zach Jarrett","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".289",".375",".664",".283","","73","0.0","0.0","","0.0","0.0","0.0","sa3002883"
"Nick Gordon","Twins","1","5","5","1","0","0","0","1","1","0","1","0","0","0","",".254",".296",".364",".660",".283","","72","0.0","0.0","","-0.2","0.0","0.0","sa828662"
"Tzu-Wei Lin","Red Sox","2","8","7","2","0","0","0","1","1","1","2","0","0","0","",".245",".303",".351",".654",".283","","69","0.0","0.0","","-0.3","0.0","0.0","14678"
"Brett Phillips","Royals","2","7","7","1","0","0","0","1","1","1","3","0","0","0","",".212",".294",".367",".661",".283","","72","0.0","0.1","","-0.2","0.1","0.0","14735"
"Yariel Gonzalez","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".253",".293",".371",".664",".283","","73","0.0","0.0","","0.0","0.0","0.0","sa920278"
"Dominic Miroglio","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".248",".299",".358",".657",".283","","70","0.0","0.0","","0.0","0.0","0.0","sa739013"
"Connor Marabell","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".287",".379",".666",".283","","70","0.0","0.0","","0.0","0.0","0.0","sa858026"
"Tim Smalling","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".295",".364",".659",".283","","56","0.0","0.0","","-0.1","0.0","0.0","sa545109"
"Efren Navarro","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".310",".344",".654",".283","","-100","0.0","0.0","","0.0","0.0","","9854"
"J.C. Millan","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".293",".367",".660",".283","","76","0.0","0.0","","0.0","0.0","0.0","sa922148"
"Santiago Espinal","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".253",".299",".358",".657",".283","","74","0.0","0.0","","0.0","0.0","0.0","sa918188"
"Andrew Stevenson","Nationals","4","16","14","4","1","0","0","1","1","1","4","0","0","0","",".252",".304",".350",".654",".283","","69","0.0","0.0","","-0.6","-0.1","0.0","17932"
"Julio Borbon","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".258",".304",".352",".655",".283","","73","0.0","0.0","","0.0","0.0","0.0","3209"
"Reese McGuire","Blue Jays","9","37","33","8","2","0","1","4","4","3","7","0","0","0","",".233",".297",".360",".657",".283","","74","0.0","-0.1","","-1.2","0.6","0.1","15674"
"Ryan Casteel","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".282",".385",".667",".283","","70","0.0","0.0","","0.0","0.0","0.0","sa549286"
"Nick Franklin","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".294",".361",".656",".283","","77","0.0","0.0","","0.0","0.0","0.0","10166"
"Jonah Heim","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".297",".361",".658",".283","","76","0.0","0.0","","0.0","0.0","0.0","sa737843"
"J.J. Matijevic","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".273",".398",".671",".283","","78","0.0","0.0","","0.0","0.0","0.0","sa829488"
"Max Murphy","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".292",".369",".661",".283","","69","0.0","0.0","","0.0","0.0","0.0","sa827182"
"Michael A. Taylor","Nationals","15","57","52","12","3","0","2","6","6","4","19","0","2","1","",".230",".289",".374",".663",".283","","69","0.2","0.1","","-2.1","0.2","0.0","11489"
"Casey Golden","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".280",".385",".665",".282","","56","0.0","0.0","","-0.1","0.0","0.0","sa873997"
"Ryan LaMarre","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".296",".360",".657",".282","","70","0.0","0.0","","0.0","0.0","0.0","10700"
"Jesus Sanchez","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".286",".378",".664",".282","","76","0.0","0.0","","0.0","0.0","0.0","sa872787"
"Josh Lester","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".286",".381",".667",".282","","73","0.0","0.0","","0.0","0.0","0.0","sa658811"
"Matt McBride","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".277",".389",".666",".282","","71","0.0","0.0","","0.0","0.0","0.0","9373"
